,name,locGrp,yr,ptlat_mean,ptlong_mean,wind_max,pressure_min,minlong_min,minlat_min,failTF_sum
58462,NoStorm2021,5,2021.0,29.91944977653846,-95.52524343435897,12.0,1050.0,-109.3,42.4,78.0
58511,NoStorm2022,0,2022.0,35.78086101060606,-96.17356596363636,12.0,1050.0,-109.3,42.4,33.0
58559,NoStorm2022,1,2022.0,40.392485099565214,-76.43158597695653,12.0,1050.0,-109.3,42.4,23.0
58607,NoStorm2022,2,2022.0,31.432979816956525,-89.91616772043477,12.0,1050.0,-109.3,42.4,23.0
58655,NoStorm2022,3,2022.0,34.9641341,-81.1302864,12.0,1050.0,-109.3,42.4,10.0
58703,NoStorm2022,4,2022.0,39.77230810315789,-86.62151725052631,12.0,1050.0,-109.3,42.4,19.0
58751,NoStorm2022,5,2022.0,29.959689087906977,-95.55978235069769,12.0,1050.0,-109.3,42.4,43.0
59036,Olga2019,5,2019.0,29.297365444444445,-95.51534788888888,40.0,998.0,-94.8,24.7,9.0
59122,One2009,1,2009.0,40.5827122,-74.2707509,25.0,1007.0,-71.8,36.9,1.0
59444,Opal1995,2,1995.0,30.756750999999998,-89.10997136666667,110.0,938.0,-92.3,19.1,3.0
59492,Opal1995,3,1995.0,34.274044933333336,-84.90091286666667,50.0,974.0,-92.3,19.1,2.0
59540,Opal1995,4,1995.0,35.4,-85.7,30.0,982.0,-92.3,19.1,0.0
59694,Ophelia2005,1,2005.0,39.59713702222222,-75.15659245555555,70.0,982.0,-79.6,25.8,8.0
59790,Ophelia2005,3,2005.0,32.594576466666666,-80.23512099999999,75.0,979.0,-79.6,25.8,3.0
59934,Rita2005,0,2005.0,37.23347698,-95.48063765,35.0,982.0,-92.3,21.3,10.0
60030,Rita2005,2,2005.0,30.527580609090908,-90.99361610909091,115.0,927.0,-92.3,21.3,11.0
60126,Rita2005,4,2005.0,38.47310042,-88.90563298,20.0,1003.0,-92.3,21.3,5.0
60174,Rita2005,5,2005.0,29.772265233333332,-94.92699228333333,105.0,931.0,-92.3,21.3,18.0
60333,Sally2020,2,2020.0,31.0836005875,-88.0327265,95.0,965.0,-88.1,25.4,4.0
60381,Sally2020,3,2020.0,29.68038783333333,-83.12151733333333,35.0,1000.0,-88.1,25.4,2.0
60565,Sandy2012,1,2012.0,40.39878165,-74.54556390625,80.0,940.0,-78.7,12.6,16.0
60661,Sandy2012,3,2012.0,27.340325,-80.44769500000001,65.0,968.0,-78.7,12.6,2.0
60942,Tammy2005,3,2005.0,31.126726975,-83.2460010125,45.0,1001.0,-85.8,27.3,2.0
61184,Ten2007,2,2007.0,31.294617249999998,-89.627427575,25.0,1006.0,-109.3,42.4,4.0
61232,Ten2007,3,2007.0,27.8439011,-82.28548479999999,30.0,1005.0,-109.3,42.4,1.0
61532,Three2019,3,2019.0,27.3261803,-80.3242468,30.0,1013.0,-80.0,24.6,1.0
61907,Two2010,5,2010.0,29.40955490909091,-95.43519081818181,30.0,1006.0,-98.8,23.7,10.0
62094,Wilma2005,3,2005.0,26.049999999999997,-81.35,105.0,950.0,-87.1,15.7,0.0
62349,Zeta2020,2,2020.0,31.161940865000002,-89.59480997666667,100.0,970.0,-91.7,17.7,5.0
62397,Zeta2020,3,2020.0,33.92054738666667,-83.34238474333334,60.0,986.0,-91.7,17.7,3.0
62445,Zeta2020,4,2020.0,38.45443,-82.54555,45.0,990.0,-91.7,17.7,1.0
62493,Zeta2020,5,2020.0,29.8423553,-94.73815157142857,100.0,970.0,-91.7,17.7,7.0
